_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.6,GO:0032868,response to insulin,M1,1,0
1,-2.6,GO:0050727,regulation of inflammatory response,M1,1,0
1,-3.5,GO:0042391,regulation of membrane potential,M1,1,0
1,-3.4,WP75,Toll-like receptor signaling pathway,M1,1,0
1,-2.7,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-4,GO:0009725,response to hormone,M1,1,0
1,-2,GO:0140694,non-membrane-bounded organelle assembly,M1,1,0
1,-4.7,GO:0010942,positive regulation of cell death,M1,1,0
1,-3.9,R-HSA-909733,Interferon alpha/beta signaling,M1,1,0
1,-2.7,GO:0042326,negative regulation of phosphorylation,M1,1,0
1,-2.5,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-2.5,GO:0010563,negative regulation of phosphorus metabolic process,M1,1,0
1,-2.3,GO:0042063,gliogenesis,M1,1,0
1,-2.6,GO:0061136,regulation of proteasomal protein catabolic process,M1,1,0
1,-3.5,GO:1903050,regulation of proteolysis involved in protein catabolic process,M1,1,0
1,-2.7,GO:1902903,regulation of supramolecular fiber organization,M1,1,0
1,-2.8,hsa05164,Influenza A,M1,1,0
1,-4.2,GO:0010821,regulation of mitochondrion organization,M1,1,0
1,-2,GO:0006351,DNA-templated transcription,M1,1,0
1,-4.3,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2.4,hsa05171,Coronavirus disease - COVID-19,M1,1,0
1,-2.8,GO:0071900,regulation of protein serine/threonine kinase activity,M1,1,0
1,-6.3,GO:0000165,MAPK cascade,M1,1,0
1,-2.9,WP4666,Hepatitis B infection,M1,1,0
1,-4.1,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-2.2,GO:0070201,regulation of establishment of protein localization,M1,1,0
1,-3.4,GO:0032479,regulation of type I interferon production,M1,1,0
1,-2.6,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,M1,1,0
1,-2.6,R-HSA-913531,Interferon Signaling,M1,1,0
1,-4,GO:0042327,positive regulation of phosphorylation,M1,1,0
1,-2.8,GO:0042176,regulation of protein catabolic process,M1,1,0
1,-2.5,GO:0006897,endocytosis,M1,1,0
1,-3,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,M1,1,0
1,-3.1,GO:0070304,positive regulation of stress-activated protein kinase signaling cascade,M1,1,0
1,-3.3,GO:0030162,regulation of proteolysis,M1,1,0
1,-5.5,GO:1900076,regulation of cellular response to insulin stimulus,M1,1,0
1,-5,GO:0090140,regulation of mitochondrial fission,M1,1,0
1,-3.3,WP4321,Thermogenesis,M1,1,0
1,-2.4,hsa04714,Thermogenesis,M1,1,0
1,-3.2,GO:0043410,positive regulation of MAPK cascade,M1,1,0
1,-2.6,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-2.7,GO:0031344,regulation of cell projection organization,M1,1,0
1,-2.8,GO:0043434,response to peptide hormone,M1,1,0
1,-2.7,GO:0010469,regulation of signaling receptor activity,M1,1,0
1,-3.9,GO:0051881,regulation of mitochondrial membrane potential,M1,1,0
1,-3.8,GO:0010038,response to metal ion,M1,1,0
1,-2.8,GO:1902905,positive regulation of supramolecular fiber organization,M1,1,0
1,-3,GO:0051345,positive regulation of hydrolase activity,M1,1,0
1,-2,GO:0051047,positive regulation of secretion,M1,1,0
1,-3.3,R-HSA-1257604,PIP3 activates AKT signaling,M1,1,0
1,-2.5,R-HSA-9012999,RHO GTPase cycle,M1,1,0
1,-3.4,GO:0140546,defense response to symbiont,M1,1,0
1,-2,GO:1901653,cellular response to peptide,M1,1,0
1,-3.3,GO:0001934,positive regulation of protein phosphorylation,M1,1,0
1,-2.6,GO:0071902,positive regulation of protein serine/threonine kinase activity,M1,1,0
1,-2.2,GO:0051493,regulation of cytoskeleton organization,M1,1,0
1,-3.7,GO:0045859,regulation of protein kinase activity,M1,1,0
1,-2.1,GO:1903530,regulation of secretion by cell,M1,1,0
1,-3.6,GO:0032273,positive regulation of protein polymerization,M1,1,0
1,-2.1,GO:0097435,supramolecular fiber organization,M1,1,0
1,-2.4,GO:0045087,innate immune response,M1,1,0
1,-3.8,GO:0045860,positive regulation of protein kinase activity,M1,1,0
1,-2.2,GO:0051091,positive regulation of DNA-binding transcription factor activity,M1,1,0
1,-3.6,GO:1901699,cellular response to nitrogen compound,M1,1,0
1,-3.1,GO:0010035,response to inorganic substance,M1,1,0
1,-2.3,GO:0045927,positive regulation of growth,M1,1,0
1,-2.4,GO:0051090,regulation of DNA-binding transcription factor activity,M1,1,0
1,-2,GO:0044057,regulation of system process,M1,1,0
1,-4.1,GO:0030522,intracellular receptor signaling pathway,M1,1,0
1,-3.5,GO:0046330,positive regulation of JNK cascade,M1,1,0
1,-3.2,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-4.7,GO:0032728,positive regulation of interferon-beta production,M1,1,0
1,-2.5,GO:1901215,negative regulation of neuron death,M1,1,0
1,-2.2,GO:0032103,positive regulation of response to external stimulus,M1,1,0
1,-2.1,GO:1903532,positive regulation of secretion by cell,M1,1,0
