Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0023508,White Blood Cell Count procedure,,-4.4,7.4,6.3,30182,681,42,7,17,5.8,2185|4782|8289|11016|51043|91768|158471,PTK2B|NFIC|ARID1A|ATF7|ZBTB7B|CABLES1|PRUNE2,-1,MyList
DisGeNET,35,C0002726,Amyloidosis,,-4.4,7.2,6.2,30182,694,42,7,17,5.8,2100|4137|4782|5468|9863|89795|120892,ESR2|MAPT|NFIC|PPARG|MAGI2|NAV3|LRRK2,-1,MyList
DisGeNET,35,C0027059,Myocarditis,,-4.3,13,7.3,30182,285,42,5,12,5,2100|2729|3661|3663|7098,ESR2|GCLC|IRF3|IRF5|TLR3,-1,MyList
DisGeNET,35,C0442874,Neuropathy,,-4.3,8.9,6.6,30182,483,42,6,14,5.4,2729|3661|4137|5468|7879|55790,GCLC|IRF3|MAPT|PPARG|RAB7A|CSGALNACT1,-1,MyList
DisGeNET,35,C0079772,T-Cell Lymphoma,,-4.3,8.9,6.5,30182,485,42,6,14,5.4,2100|5468|7098|7593|8289|89795,ESR2|PPARG|TLR3|MZF1|ARID1A|NAV3,-1,MyList
DisGeNET,35,C0013363,Dysautonomia,,-4.3,19,8.4,30182,148,42,4,9.5,4.5,287|4137|57091|120892,ANK2|MAPT|CASS4|LRRK2,-1,MyList
Transcription Factor Targets,16,M19368,TGATTTRY GFI1 01,,-4.3,12,7.2,30182,296,42,5,12,5,1879|1912|2887|5454|7050,EBF1|PHC2|GRB10|POU3F2|TGIF1,-1,MyList
DisGeNET,35,C0002170,Alopecia,,-4.2,8.8,6.5,30182,491,42,6,14,5.4,1879|2887|3663|4137|4599|5468,EBF1|GRB10|IRF5|MAPT|MX1|PPARG,-1,MyList
DisGeNET,35,C3714514,Infection,,-4.2,8.8,6.5,30182,491,42,6,14,5.4,2272|3661|4137|4599|5468|7098,FHIT|IRF3|MAPT|MX1|PPARG|TLR3,-1,MyList
DisGeNET,35,C0024143,Lupus Nephritis,,-4.2,8.6,6.4,30182,503,42,6,14,5.4,2185|3661|3663|4599|7098|120892,PTK2B|IRF3|IRF5|MX1|TLR3|LRRK2,-0.97,MyList
Cell Type Signatures,7,M39067,MANNO MIDBRAIN NEUROTYPES HDA,,-4.2,8.5,6.4,30182,506,42,6,14,5.4,287|1879|2185|9863|23281|89795,ANK2|EBF1|PTK2B|MAGI2|MTUS2|NAV3,-0.97,MyList
DisGeNET,35,C0333641,Atrophic,,-4.1,37,10,30182,58,42,3,7.1,4,4137|7098|120892,MAPT|TLR3|LRRK2,-0.96,MyList
DisGeNET,35,C0014061,Tick-Borne Encephalitis,,-4.1,37,10,30182,59,42,3,7.1,4,3661|4137|7098,IRF3|MAPT|TLR3,-0.96,MyList
DisGeNET,35,C1096184,West Nile viral infection,,-4.1,18,7.9,30182,164,42,4,9.5,4.5,3661|3663|4599|7098,IRF3|IRF5|MX1|TLR3,-0.96,MyList
DisGeNET,35,C0014038,Encephalitis,,-4.1,11,6.8,30182,324,42,5,12,5,3661|4137|5468|7098|120892,IRF3|MAPT|PPARG|TLR3|LRRK2,-0.96,MyList
Cell Type Signatures,7,M39053,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-4.1,11,6.8,30182,326,42,5,12,5,2119|4605|5791|51347|55790,ETV5|MYBL2|PTPRE|TAOK3|CSGALNACT1,-0.96,MyList
DisGeNET,35,C0750901,"Alzheimer Disease, Early Onset",,-4,17,7.7,30182,174,42,4,9.5,4.5,322|4137|5468|57091,APBB1|MAPT|PPARG|CASS4,-0.93,MyList
DisGeNET,35,C0392885,High density lipoprotein measurement,,-4,7.9,6.1,30182,545,42,6,14,5.4,2100|2119|3661|4782|5468|8289,ESR2|ETV5|IRF3|NFIC|PPARG|ARID1A,-0.93,MyList
DisGeNET,35,C0346109,Malignant Mesothelioma of Peritoneum,,-4,33,9.7,30182,65,42,3,7.1,4,2100|7098|7879,ESR2|TLR3|RAB7A,-0.93,MyList
DisGeNET,35,C0278704,Malignant Childhood Neoplasm,,-3.9,16,7.5,30182,179,42,4,9.5,4.5,2100|2272|5468|8289,ESR2|FHIT|PPARG|ARID1A,-0.92,MyList
DisGeNET,35,C1868675,"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE",,-3.9,32,9.5,30182,67,42,3,7.1,4,2272|4137|120892,FHIT|MAPT|LRRK2,-0.92,MyList
Transcription Factor Targets,16,M4134,AP2REP 01,,-3.9,16,7.5,30182,182,42,4,9.5,4.5,1912|2272|4137|8289,PHC2|FHIT|MAPT|ARID1A,-0.91,MyList
DisGeNET,35,C1336076,Sporadic Breast Carcinoma,,-3.9,16,7.4,30182,184,42,4,9.5,4.5,2100|2272|5468|8289,ESR2|FHIT|PPARG|ARID1A,-0.9,MyList
DisGeNET,35,C0455829,Waist Circumference,,-3.9,31,9.3,30182,70,42,3,7.1,4,2119|2272|5468,ETV5|FHIT|PPARG,-0.9,MyList
DisGeNET,35,C1145628,Autonomic nervous system disorders,,-3.8,30,9.1,30182,73,42,3,7.1,4,4137|57091|120892,MAPT|CASS4|LRRK2,-0.86,MyList
Cell Type Signatures,7,M39052,MANNO MIDBRAIN NEUROTYPES HOPC,,-3.8,9.8,6.3,30182,366,42,5,12,5,2119|5791|51347|55790|120892,ETV5|PTPRE|TAOK3|CSGALNACT1|LRRK2,-0.86,MyList
Transcription Factor Targets,16,M3794,HEN1 02,,-3.8,14,7.1,30182,200,42,4,9.5,4.5,287|2119|7050|171017,ANK2|ETV5|TGIF1|ZNF384,-0.81,MyList
DisGeNET,35,C0043124,West Nile Fever,,-3.7,27,8.7,30182,79,42,3,7.1,4,3661|3663|7098,IRF3|IRF5|TLR3,-0.8,MyList
DisGeNET,35,C0200638,Eosinophil count procedure,,-3.7,7.1,5.7,30182,610,42,6,14,5.4,1912|2185|2887|4137|4782|5468,PHC2|PTK2B|GRB10|MAPT|NFIC|PPARG,-0.8,MyList
DisGeNET,35,C0036205,"Sarcoidosis, Pulmonary",,-3.7,27,8.6,30182,81,42,3,7.1,4,2185|5468|7098,PTK2B|PPARG|TLR3,-0.79,MyList
Transcription Factor Targets,16,M13279,HFH8 01,,-3.7,14,6.9,30182,208,42,4,9.5,4.5,2119|5454|7050|8820,ETV5|POU3F2|TGIF1|HESX1,-0.79,MyList
DisGeNET,35,C0020651,"Hypotension, Orthostatic",,-3.7,26,8.6,30182,82,42,3,7.1,4,1879|3663|120892,EBF1|IRF5|LRRK2,-0.79,MyList
DisGeNET,35,C0206708,Cervical Intraepithelial Neoplasia,,-3.7,9,6,30182,398,42,5,12,5,2100|2272|4605|7098|8289,ESR2|FHIT|MYBL2|TLR3|ARID1A,-0.78,MyList
DisGeNET,35,C0005612,Birth Weight,,-3.7,13,6.8,30182,214,42,4,9.5,4.5,1879|2887|51043|91768,EBF1|GRB10|ZBTB7B|CABLES1,-0.78,MyList
Cell Type Signatures,7,M39124,AIZARANI LIVER C23 KUPFFER CELLS 3,,-3.6,13,6.7,30182,221,42,4,9.5,4.5,1912|2185|5791|120892,PHC2|PTK2B|PTPRE|LRRK2,-0.74,MyList
Cell Type Signatures,7,M39222,LAKE ADULT KIDNEY C3 PROXIMAL TUBULE EPITHELIAL CELLS S1 S2,,-3.6,13,6.7,30182,221,42,4,9.5,4.5,287|2272|80206|158471,ANK2|FHIT|FHOD3|PRUNE2,-0.74,MyList
DisGeNET,35,C0220636,Malignant neoplasm of salivary gland,,-3.6,24,8.1,30182,91,42,3,7.1,4,2100|2272|5468,ESR2|FHIT|PPARG,-0.71,MyList
Cell Type Signatures,7,M39216,ZHENG CORD BLOOD C7 PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 1,,-3.5,23,7.9,30182,95,42,3,7.1,4,5791|10915|51347,PTPRE|TCERG1|TAOK3,-0.69,MyList
DisGeNET,35,C0023524,"Leukoencephalopathy, Progressive Multifocal",,-3.5,12,6.4,30182,240,42,4,9.5,4.5,322|2100|2185|5468,APBB1|ESR2|PTK2B|PPARG,-0.69,MyList
DisGeNET,35,C0007785,Cerebral Infarction,,-3.4,6.3,5.2,30182,687,42,6,14,5.4,2100|2185|2729|4137|5468|7879,ESR2|PTK2B|GCLC|MAPT|PPARG|RAB7A,-0.69,MyList
DisGeNET,35,C0546126,Acute Confusional Senile Dementia,,-3.4,22,7.7,30182,99,42,3,7.1,4,4137|5468|57091,MAPT|PPARG|CASS4,-0.69,MyList
DisGeNET,35,C0750900,"Alzheimer's Disease, Focal Onset",,-3.4,22,7.7,30182,99,42,3,7.1,4,4137|5468|57091,MAPT|PPARG|CASS4,-0.69,MyList
Transcription Factor Targets,16,M18732,AP2ALPHA 01,,-3.4,12,6.3,30182,243,42,4,9.5,4.5,1912|5454|6945|8289,PHC2|POU3F2|MLX|ARID1A,-0.69,MyList
DisGeNET,35,C0426980,Motor symptoms,,-3.4,22,7.7,30182,100,42,3,7.1,4,4137|5468|120892,MAPT|PPARG|LRRK2,-0.69,MyList
DisGeNET,35,C0917796,"Optic Atrophy, Hereditary, Leber",,-3.4,22,7.7,30182,100,42,3,7.1,4,2100|2729|4137,ESR2|GCLC|MAPT,-0.69,MyList
Transcription Factor Targets,16,M2528,S8 01,,-3.4,12,6.3,30182,247,42,4,9.5,4.5,287|1912|2100|8820,ANK2|PHC2|ESR2|HESX1,-0.69,MyList
DisGeNET,35,C4551686,Malignant neoplasm of soft tissue,,-3.4,6.2,5.2,30182,699,42,6,14,5.4,2119|2272|2729|4137|5468|8289,ETV5|FHIT|GCLC|MAPT|PPARG|ARID1A,-0.69,MyList
DisGeNET,35,C0017639,Gliosis,,-3.4,21,7.6,30182,102,42,3,7.1,4,4137|7098|120892,MAPT|TLR3|LRRK2,-0.69,MyList
DisGeNET,35,C0024115,Lung diseases,,-3.4,6.2,5.2,30182,700,42,6,14,5.4,2729|3661|3663|5468|7050|7098,GCLC|IRF3|IRF5|PPARG|TGIF1|TLR3,-0.69,MyList
DisGeNET,35,C0021053,Immune System Diseases,,-3.4,8,5.6,30182,451,42,5,12,5,2100|2119|3661|3663|5468,ESR2|ETV5|IRF3|IRF5|PPARG,-0.69,MyList
DisGeNET,35,C0333463,Senile Plaques,,-3.4,12,6.2,30182,249,42,4,9.5,4.5,322|4137|4599|7098,APBB1|MAPT|MX1|TLR3,-0.69,MyList
DisGeNET,35,C1302401,Adenoma of large intestine,,-3.4,7.9,5.6,30182,452,42,5,12,5,2100|2272|2729|5468|7593,ESR2|FHIT|GCLC|PPARG|MZF1,-0.69,MyList
DisGeNET,35,C4317109,Epileptic Seizures,,-3.4,11,6.2,30182,250,42,4,9.5,4.5,2100|4137|5468|7098,ESR2|MAPT|PPARG|TLR3,-0.69,MyList
DisGeNET,35,C0520459,Necrotizing Enterocolitis,,-3.4,21,7.6,30182,103,42,3,7.1,4,3663|5468|7098,IRF5|PPARG|TLR3,-0.69,MyList
DisGeNET,35,C3544205,Ovarian clear cell carcinoma,,-3.4,21,7.6,30182,103,42,3,7.1,4,2100|2185|8289,ESR2|PTK2B|ARID1A,-0.69,MyList
Transcription Factor Targets,16,M16396,AP2GAMMA 01,,-3.4,11,6.2,30182,252,42,4,9.5,4.5,1912|5454|6945|8289,PHC2|POU3F2|MLX|ARID1A,-0.68,MyList
Transcription Factor Targets,16,M6144,STAT5B 01,,-3.4,11,6.1,30182,255,42,4,9.5,4.5,322|2119|2887|8289,APBB1|ETV5|GRB10|ARID1A,-0.67,MyList
DisGeNET,35,C0011265,Presenile dementia,,-3.3,6,5.1,30182,718,42,6,14,5.4,2100|2729|4137|5468|57091|120892,ESR2|GCLC|MAPT|PPARG|CASS4|LRRK2,-0.67,MyList
DisGeNET,35,C0239981,Hypoalbuminemia,,-3.3,20,7.4,30182,107,42,3,7.1,4,2272|3663|9863,FHIT|IRF5|MAGI2,-0.67,MyList
Transcription Factor Targets,16,M3741,CEBPGAMMA Q6,,-3.3,11,6.1,30182,259,42,4,9.5,4.5,5468|8820|89795|158471,PPARG|HESX1|NAV3|PRUNE2,-0.67,MyList
COVID,200,COVID017,RNA_Blanco-Melo_Lung_Down,,-3.3,11,6.1,30182,259,42,4,9.5,4.5,2185|4599|8820|51347,PTK2B|MX1|HESX1|TAOK3,-0.67,MyList
DisGeNET,35,C0079541,Holoprosencephaly,,-3.3,20,7.3,30182,109,42,3,7.1,4,7050|8289|8820,TGIF1|ARID1A|HESX1,-0.66,MyList
Transcription Factor Targets,16,M572,TGCCAAR NF1 Q6,,-3.3,5.9,5,30182,727,42,6,14,5.4,2119|4137|5468|10818|51347|89795,ETV5|MAPT|PPARG|FRS2|TAOK3|NAV3,-0.66,MyList
Transcription Factor Targets,16,M17779,PAX2 02,,-3.3,11,6,30182,265,42,4,9.5,4.5,2119|2185|5454|5468,ETV5|PTK2B|POU3F2|PPARG,-0.66,MyList
DisGeNET,35,C0008312,Primary biliary cirrhosis,,-3.3,7.5,5.4,30182,478,42,5,12,5,2100|3663|4137|5468|7098,ESR2|IRF5|MAPT|PPARG|TLR3,-0.66,MyList
DisGeNET,35,C0266999,Vesicular Stomatitis,,-3.3,19,7.2,30182,112,42,3,7.1,4,3661|4599|7098,IRF3|MX1|TLR3,-0.66,MyList
Transcription Factor Targets,16,M13052,GATA6 01,,-3.3,11,6,30182,268,42,4,9.5,4.5,1912|2119|7050|51043,PHC2|ETV5|TGIF1|ZBTB7B,-0.66,MyList
DisGeNET,35,C0025007,Measles,,-3.3,19,7.2,30182,113,42,3,7.1,4,3661|4599|7098,IRF3|MX1|TLR3,-0.66,MyList
DisGeNET,35,C4529962,Fatty Liver Disease,,-3.3,5.8,5,30182,741,42,6,14,5.4,2100|2185|2729|5468|7098|8289,ESR2|PTK2B|GCLC|PPARG|TLR3|ARID1A,-0.66,MyList
DisGeNET,35,C0202117,Low density lipoprotein cholesterol measurement,,-3.3,7.4,5.3,30182,483,42,5,12,5,3661|5468|7098|8289|120892,IRF3|PPARG|TLR3|ARID1A|LRRK2,-0.66,MyList
DisGeNET,35,C1176475,Ductal Carcinoma,,-3.3,11,5.9,30182,273,42,4,9.5,4.5,2100|2272|3663|8289,ESR2|FHIT|IRF5|ARID1A,-0.65,MyList
DisGeNET,35,C0036220,Kaposi Sarcoma,,-3.2,7.4,5.3,30182,488,42,5,12,5,2185|3661|3663|5468|51347,PTK2B|IRF3|IRF5|PPARG|TAOK3,-0.65,MyList
DisGeNET,35,C0205644,"Carcinoma, Granular Cell",,-3.2,19,7.1,30182,116,42,3,7.1,4,2100|5468|8289,ESR2|PPARG|ARID1A,-0.65,MyList
DisGeNET,35,C0205643,"Carcinoma, Cribriform",,-3.2,18,7,30182,117,42,3,7.1,4,2100|5468|8289,ESR2|PPARG|ARID1A,-0.65,MyList
DisGeNET,35,C1175175,Severe Acute Respiratory Syndrome,,-3.2,18,7,30182,117,42,3,7.1,4,3661|4599|4782,IRF3|MX1|NFIC,-0.65,MyList
DisGeNET,35,C0476254,Dyslexia,,-3.2,18,7,30182,118,42,3,7.1,4,2100|2729|4137,ESR2|GCLC|MAPT,-0.64,MyList
DisGeNET,35,C0233794,Memory impairment,,-3.2,5.7,4.9,30182,763,42,6,14,5.4,2100|2185|4137|4782|5468|9863,ESR2|PTK2B|MAPT|NFIC|PPARG|MAGI2,-0.63,MyList
DisGeNET,35,C0234985,Mental deterioration,,-3.2,7.1,5.2,30182,508,42,5,12,5,322|4137|4599|5468|120892,APBB1|MAPT|MX1|PPARG|LRRK2,-0.61,MyList
DisGeNET,35,C0205641,"Adenocarcinoma, Basal Cell",,-3.2,18,6.9,30182,123,42,3,7.1,4,2100|5468|8289,ESR2|PPARG|ARID1A,-0.61,MyList
DisGeNET,35,C0034494,Rabies (disorder),,-3.2,18,6.9,30182,123,42,3,7.1,4,3661|7098|7879,IRF3|TLR3|RAB7A,-0.61,MyList
DisGeNET,35,C0040021,Thromboangiitis Obliterans,,-3.1,17,6.7,30182,127,42,3,7.1,4,2185|5468|57091,PTK2B|PPARG|CASS4,-0.57,MyList
Cell Type Signatures,7,M39063,MANNO MIDBRAIN NEUROTYPES HNBM,,-3.1,9.7,5.6,30182,295,42,4,9.5,4.5,287|1879|5454|23281,ANK2|EBF1|POU3F2|MTUS2,-0.57,MyList
Transcription Factor Targets,16,M6628,GTGGGTGK UNKNOWN,,-3.1,9.7,5.6,30182,297,42,4,9.5,4.5,4137|5468|158471|171017,MAPT|PPARG|PRUNE2|ZNF384,-0.57,MyList
DisGeNET,35,C0232939,Primary physiologic amenorrhea,,-3.1,17,6.7,30182,129,42,3,7.1,4,2100|5468|8820,ESR2|PPARG|HESX1,-0.57,MyList
COVID,200,COVID050,RNA_Wyler_Calu-3_24h_Up,,-3.1,9.6,5.6,30182,300,42,4,9.5,4.5,2887|4599|7098|10818,GRB10|MX1|TLR3|FRS2,-0.56,MyList
DisGeNET,35,C1535926,Neurodevelopmental Disorders,,-3.1,6.7,5,30182,534,42,5,12,5,287|2100|4137|4782|7098,ANK2|ESR2|MAPT|NFIC|TLR3,-0.55,MyList
DisGeNET,35,C0205645,"Adenocarcinoma, Tubular",,-3.1,16,6.6,30182,133,42,3,7.1,4,2100|5468|8289,ESR2|PPARG|ARID1A,-0.55,MyList
DisGeNET,35,C0019187,"Hepatitis, Alcoholic",,-3.1,16,6.6,30182,133,42,3,7.1,4,3661|5468|7098,IRF3|PPARG|TLR3,-0.55,MyList
DisGeNET,35,C0151786,Muscle Weakness,,-3.1,6.7,5,30182,536,42,5,12,5,3663|6945|7879|8820|51347,IRF5|MLX|RAB7A|HESX1|TAOK3,-0.54,MyList
DisGeNET,35,C0027404,Narcolepsy,,-3.1,9.3,5.5,30182,308,42,4,9.5,4.5,2272|10915|23281|80206,FHIT|TCERG1|MTUS2|FHOD3,-0.54,MyList
DisGeNET,35,C0205642,"Adenocarcinoma, Oxyphilic",,-3.1,16,6.5,30182,135,42,3,7.1,4,2100|5468|8289,ESR2|PPARG|ARID1A,-0.54,MyList
DisGeNET,35,C1708349,Hereditary Diffuse Gastric Cancer,,-3,9.2,5.4,30182,312,42,4,9.5,4.5,2272|4599|5468|8289,FHIT|MX1|PPARG|ARID1A,-0.53,MyList
DisGeNET,35,C4721453,Peripheral Nervous System Diseases,,-3,6.5,4.9,30182,549,42,5,12,5,2185|2729|4137|5468|7879,PTK2B|GCLC|MAPT|PPARG|RAB7A,-0.52,MyList
DisGeNET,35,C1275122,Familial multiple trichoepitheliomata,,-3,9.1,5.4,30182,317,42,4,9.5,4.5,2100|2272|5468|8289,ESR2|FHIT|PPARG|ARID1A,-0.51,MyList
DisGeNET,35,C0007682,CNS disorder,,-3,9,5.4,30182,319,42,4,9.5,4.5,2100|4137|5468|7050,ESR2|MAPT|PPARG|TGIF1,-0.5,MyList
DisGeNET,35,C0220668,Congenital contractural arachnodactyly,,-3,6.4,4.8,30182,559,42,5,12,5,1879|2185|5468|7879|8289,EBF1|PTK2B|PPARG|RAB7A|ARID1A,-0.49,MyList
DisGeNET,35,C0033975,Psychotic Disorders,,-3,6.4,4.8,30182,560,42,5,12,5,2729|4137|5468|7050|120892,GCLC|MAPT|PPARG|TGIF1|LRRK2,-0.49,MyList
DisGeNET,35,C2062441,Influenza A,,-3,6.4,4.8,30182,562,42,5,12,5,3661|3663|4599|5468|7098,IRF3|IRF5|MX1|PPARG|TLR3,-0.49,MyList
DisGeNET,35,C0424678,Lean body mass,,-3,15,6.3,30182,144,42,3,7.1,4,1912|2272|91768,PHC2|FHIT|CABLES1,-0.49,MyList
DisGeNET,35,C0205682,Waist-Hip Ratio,,-3,6.4,4.8,30182,565,42,5,12,5,2887|4137|89795|91768|158471,GRB10|MAPT|NAV3|CABLES1|PRUNE2,-0.49,MyList
Cell Type Signatures,7,M39064,MANNO MIDBRAIN NEUROTYPES HNBML1,,-3,8.8,5.3,30182,328,42,4,9.5,4.5,287|1879|5454|80206,ANK2|EBF1|POU3F2|FHOD3,-0.48,MyList
DisGeNET,35,C1519680,Tumor Immunity,,-2.9,8.5,5.2,30182,337,42,4,9.5,4.5,3661|3663|4599|5468,IRF3|IRF5|MX1|PPARG,-0.44,MyList
Cell Type Signatures,7,M39068,MANNO MIDBRAIN NEUROTYPES HDA1,,-2.9,6.2,4.7,30182,584,42,5,12,5,287|5454|23281|51347|89795,ANK2|POU3F2|MTUS2|TAOK3|NAV3,-0.44,MyList
Transcription Factor Targets,16,M402,TTCYRGAA UNKNOWN,,-2.9,8.5,5.2,30182,340,42,4,9.5,4.5,2887|4137|7050|171017,GRB10|MAPT|TGIF1|ZNF384,-0.44,MyList
DisGeNET,35,C0158266,Intervertebral Disc Degeneration,,-2.9,8.4,5.1,30182,342,42,4,9.5,4.5,2887|5468|7879|55790,GRB10|PPARG|RAB7A|CSGALNACT1,-0.44,MyList
DisGeNET,35,C0271561,Somatotropin deficiency,,-2.9,14,6,30182,154,42,3,7.1,4,2887|5468|8820,GRB10|PPARG|HESX1,-0.44,MyList
DisGeNET,35,C0011303,Demyelinating Diseases,,-2.9,14,6,30182,156,42,3,7.1,4,2100|5468|120892,ESR2|PPARG|LRRK2,-0.42,MyList
DisGeNET,35,C0271650,Impaired glucose tolerance,,-2.9,6,4.6,30182,596,42,5,12,5,2100|2185|2887|3663|5468,ESR2|PTK2B|GRB10|IRF5|PPARG,-0.42,MyList
DisGeNET,35,C0031117,Peripheral Neuropathy,,-2.8,8.2,5.1,30182,351,42,4,9.5,4.5,2185|4137|7098|7879,PTK2B|MAPT|TLR3|RAB7A,-0.41,MyList
DisGeNET,35,C4049938,Physical Activity Measurement,,-2.8,13,5.9,30182,160,42,3,7.1,4,2119|2272|91768,ETV5|FHIT|CABLES1,-0.4,MyList
DisGeNET,35,C0032580,Adenomatous Polyposis Coli,,-2.8,5.9,4.6,30182,609,42,5,12,5,2100|2272|4137|5468|8289,ESR2|FHIT|MAPT|PPARG|ARID1A,-0.39,MyList
DisGeNET,35,C0334583,Pilocytic Astrocytoma,,-2.8,13,5.8,30182,163,42,3,7.1,4,2100|2119|2729,ESR2|ETV5|GCLC,-0.39,MyList
DisGeNET,35,C0236734,Caffeine related disorders,,-2.8,8,5,30182,359,42,4,9.5,4.5,2729|4137|5468|120892,GCLC|MAPT|PPARG|LRRK2,-0.39,MyList
DisGeNET,35,C0030499,Parasitic Diseases,,-2.8,13,5.8,30182,164,42,3,7.1,4,2185|3661|7098,PTK2B|IRF3|TLR3,-0.39,MyList
DisGeNET,35,C0027746,Nerve Degeneration,,-2.8,13,5.8,30182,165,42,3,7.1,4,287|5468|120892,ANK2|PPARG|LRRK2,-0.38,MyList
DisGeNET,35,C0020459,Hyperinsulinism,,-2.8,5.8,4.5,30182,620,42,5,12,5,2185|2729|2887|4137|5468,PTK2B|GCLC|GRB10|MAPT|PPARG,-0.37,MyList
DisGeNET,35,C4524092,Chronic rhinosinusitis with nasal polyps,,-2.8,13,5.7,30182,168,42,3,7.1,4,2185|5468|7098,PTK2B|PPARG|TLR3,-0.37,MyList
Cell Type Signatures,7,M39234,LAKE ADULT KIDNEY C15 CONNECTING TUBULE,,-2.8,13,5.7,30182,171,42,3,7.1,4,2272|55790|80206,FHIT|CSGALNACT1|FHOD3,-0.35,MyList
Transcription Factor Targets,16,M11607,AAAYRNCTG UNKNOWN,,-2.7,7.7,4.8,30182,375,42,4,9.5,4.5,1912|8289|8820|89795,PHC2|ARID1A|HESX1|NAV3,-0.34,MyList
DisGeNET,35,C0349204,Nonorganic psychosis,,-2.7,7.6,4.8,30182,376,42,4,9.5,4.5,4137|5468|7050|120892,MAPT|PPARG|TGIF1|LRRK2,-0.33,MyList
Cell Type Signatures,7,M39223,LAKE ADULT KIDNEY C4 PROXIMAL TUBULE EPITHELIAL CELLS S2,,-2.7,12,5.6,30182,176,42,3,7.1,4,2272|80206|158471,FHIT|FHOD3|PRUNE2,-0.32,MyList
Cell Type Signatures,7,M39225,LAKE ADULT KIDNEY C6 PROXIMAL TUBULE EPITHELIAL CELLS FIBRINOGEN POS S3,,-2.7,12,5.5,30182,181,42,3,7.1,4,2729|120892|158471,GCLC|LRRK2|PRUNE2,-0.3,MyList
DisGeNET,35,C0021841,Intestinal Neoplasms,,-2.7,12,5.5,30182,182,42,3,7.1,4,5468|7050|91768,PPARG|TGIF1|CABLES1,-0.3,MyList
DisGeNET,35,C0032584,polyps,,-2.7,7.4,4.7,30182,390,42,4,9.5,4.5,2100|3663|5468|7098,ESR2|IRF5|PPARG|TLR3,-0.3,MyList
Transcription Factor Targets,16,M30363,ZNF596 TARGET GENES,,-2.7,5.5,4.3,30182,656,42,5,12,5,1879|4782|5454|8289|89795,EBF1|NFIC|POU3F2|ARID1A|NAV3,-0.3,MyList
DisGeNET,35,C0410702,Adolescent idiopathic scoliosis,,-2.7,5.5,4.3,30182,656,42,5,12,5,287|2100|2272|23281|80206,ANK2|ESR2|FHIT|MTUS2|FHOD3,-0.3,MyList
DisGeNET,35,C0037369,Smoking,,-2.7,7.4,4.7,30182,391,42,4,9.5,4.5,1912|2119|2272|91768,PHC2|ETV5|FHIT|CABLES1,-0.3,MyList
DisGeNET,35,C1290884,Inflammatory disorder,,-2.7,7.4,4.7,30182,391,42,4,9.5,4.5,2185|5468|7098|120892,PTK2B|PPARG|TLR3|LRRK2,-0.3,MyList
